word,root,affix,side,zipf,comp
forewarned,warned,fore,prefix,2.51,0.3282328248023987
dislodged,lodged,dis,prefix,2.7,0.328239381313324
faceless,face,less,suffix,2.98,0.32829561829566956
foregone,gone,fore,prefix,2.76,0.32859885692596436
athleticism,athletic,ism,suffix,2.98,0.32873257994651794
unending,ending,un,prefix,2.95,0.32874754071235657
reconstructive,reconstruct,ive,suffix,2.85,0.3297168016433716
unexplained,explained,un,prefix,3.28,0.3308753967285156
minimalism,minimal,ism,suffix,2.9,0.3310149908065796
inducement,induce,ment,suffix,2.53,0.33159005641937256
heartless,heart,less,suffix,3.33,0.3317744731903076
reposition,position,re,prefix,2.71,0.33191829919815063
gelatinous,gelatin,ous,suffix,2.53,0.3320672810077667
solidity,solid,ity,suffix,2.63,0.332205206155777
retaking,taking,re,prefix,2.56,0.33223429322242737
unnecessarily,necessarily,un,prefix,3.42,0.3327612280845642
interviewer,viewer,inter,prefix,3.51,0.3329353332519531
breathless,breath,less,suffix,3.19,0.3330741226673126
roughness,rough,ness,suffix,2.81,0.33336347341537476
equipment,equip,ment,suffix,4.88,0.3334033489227295
unsurpassed,surpassed,un,prefix,2.71,0.33363762497901917
disconnects,connects,dis,prefix,2.65,0.3341406583786011
fundamentalism,fundamental,ism,suffix,2.92,0.3341711461544037
movement,move,ment,suffix,4.97,0.3343483805656433
precaution,caution,pre,prefix,3.4,0.33466529846191406
expressionism,expression,ism,suffix,2.57,0.33487963676452637
dispassionate,passionate,dis,prefix,2.53,0.3352159559726715
overcome,come,over,prefix,4.27,0.33538317680358887
resource,source,re,prefix,4.39,0.3357490003108978
pretended,tended,pre,prefix,3.57,0.33592090010643005
uninterrupted,interrupted,un,prefix,3.25,0.3362147808074951
hardness,hard,ness,suffix,3.17,0.33631420135498047
unreal,real,un,prefix,3.59,0.336457759141922
foremost,most,fore,prefix,3.78,0.33646777272224426
accompaniment,accompany,ment,suffix,3.22,0.3368295133113861
periodicity,periodic,ity,suffix,2.56,0.3368470370769501
recount,count,re,prefix,3.24,0.33692610263824463
predate,date,pre,prefix,2.59,0.3369690477848053
retrace,trace,re,prefix,2.69,0.3372076451778412
harmless,harm,less,suffix,3.79,0.337310791015625
overcoming,coming,over,prefix,3.55,0.33744561672210693
excitement,excite,ment,suffix,4.19,0.33760565519332886
powerless,power,less,suffix,3.49,0.3377055823802948
unfinished,finished,un,prefix,3.72,0.3378894031047821
overloading,loading,over,prefix,2.76,0.3379640579223633
unheard,heard,un,prefix,3.37,0.3384113311767578
interventionist,intervention,ist,suffix,2.62,0.33879685401916504
specification,specific,ation,suffix,3.75,0.33886268734931946
unnaturally,naturally,un,prefix,2.6,0.3394765853881836
sharpness,sharp,ness,suffix,3.01,0.33973464369773865
outgrow,grow,out,prefix,2.67,0.33978646993637085
disorientation,orientation,dis,prefix,2.69,0.34014442563056946
overthink,think,over,prefix,2.7,0.34042075276374817
unhindered,hindered,un,prefix,2.54,0.3407444655895233
nonviolence,violence,non,prefix,2.69,0.3409993350505829
openness,open,ness,suffix,3.4,0.3411254286766052
transformation,formation,trans,prefix,4.21,0.34117141366004944
eventful,event,ful,suffix,3.02,0.3412618041038513
unusually,usually,un,prefix,3.76,0.3415560722351074
resolution,solution,re,prefix,4.59,0.3415919244289398
restrict,strict,re,prefix,3.8,0.34178775548934937
transplanted,planted,trans,prefix,3.06,0.3418346643447876
uncomplicated,complicated,un,prefix,2.83,0.3419298231601715
togetherness,together,ness,suffix,2.8,0.34195631742477417
nonprofits,profits,non,prefix,3.02,0.34210363030433655
interlock,lock,inter,prefix,2.62,0.3421596884727478
redistributed,distributed,re,prefix,2.77,0.3423844873905182
limitless,limit,less,suffix,3.27,0.34255799651145935
foreseen,seen,fore,prefix,2.96,0.34265023469924927
plurality,plural,ity,suffix,3.42,0.34273985028266907
overrated,rated,over,prefix,3.52,0.3429795205593109
statement,state,ment,suffix,4.97,0.34303539991378784
nameless,name,less,suffix,3.15,0.34336188435554504
reconsidered,considered,re,prefix,2.9,0.3435501158237457
uncharacteristic,characteristic,un,prefix,2.58,0.343865305185318
originality,original,ity,suffix,3.34,0.3444425165653229
information,inform,ation,suffix,5.43,0.3448507785797119
unpack,pack,un,prefix,3.04,0.34490296244621277
redirecting,directing,re,prefix,2.67,0.3453218638896942
spineless,spine,less,suffix,2.91,0.3453754186630249
republicanism,republican,ism,suffix,2.68,0.34614717960357666
undivided,divided,un,prefix,3.05,0.34625229239463806
overestimated,estimated,over,prefix,2.76,0.34639763832092285
companionship,companion,ship,suffix,3.19,0.3465268015861511
reproduced,produced,re,prefix,3.46,0.3467530310153961
reforming,forming,re,prefix,3.26,0.34730079770088196
impactful,impact,ful,suffix,2.96,0.34761473536491394
disobedience,obedience,dis,prefix,3.28,0.34768515825271606
unsettled,settled,un,prefix,3.22,0.3477787375450134
dissimilar,similar,dis,prefix,3.01,0.34785810112953186
noticeable,notice,able,suffix,3.75,0.3479527235031128
unaccounted,accounted,un,prefix,2.85,0.34797558188438416
overcame,came,over,prefix,3.26,0.34803199768066406
needless,need,less,suffix,3.66,0.3481096029281616
bulbous,bulb,ous,suffix,2.66,0.3481918275356293
bountiful,bounty,ful,suffix,2.88,0.34822148084640503
nonhuman,human,non,prefix,2.51,0.34841179847717285
unexpected,expected,un,prefix,4.23,0.34852880239486694
disregarding,regarding,dis,prefix,2.96,0.3488016128540039
unfilled,filled,un,prefix,2.6,0.3488049805164337
criticize,critic,ize,suffix,3.63,0.3488417863845825
